order_id,product_id,product_quantity
ORD000001,PROD00077,1
ORD000002,PROD00191,1
ORD000003,PROD00230,1
ORD000004,PROD00204,1
ORD000005,PROD00452,1
ORD000006,PROD00084,1
ORD000007,PROD00283,1
ORD000008,PROD00081,1
ORD000009,PROD00171,1
ORD000010,PROD00240,1
ORD000011,PROD00019,2
ORD000011,PROD00240,1
ORD000011,PROD00409,1
ORD000012,PROD00059,1
ORD000012,PROD00324,1
ORD000013,PROD00007,1
ORD000014,PROD00108,2
ORD000014,PROD00120,1
ORD000014,PROD00159,1
ORD000015,PROD00200,1
ORD000016,PROD00172,1
ORD000016,PROD00228,1
ORD000017,PROD00422,1
ORD000018,PROD00360,1
ORD000019,PROD00084,2
ORD000020,PROD00142,1
ORD000021,PROD00196,1
ORD000022,PROD00198,1
ORD000023,PROD00362,1
ORD000024,PROD00197,1
ORD000025,PROD00211,1
ORD000025,PROD00315,2
ORD000025,PROD00404,1
ORD000026,PROD00087,2
ORD000027,PROD00215,2
ORD000028,PROD00276,1
ORD000029,PROD00234,1
ORD000029,PROD00425,1
ORD000030,PROD00101,1
ORD000031,PROD00137,1
ORD000032,PROD00401,1
ORD000032,PROD00457,1
ORD000033,PROD00050,1
ORD000033,PROD00187,1
ORD000034,PROD00236,1
ORD000035,PROD00090,2
ORD000035,PROD00119,1
ORD000035,PROD00240,1
ORD000035,PROD00379,1
ORD000036,PROD00250,1
ORD000037,PROD00115,1
ORD000038,PROD00323,1
ORD000039,PROD00276,1
ORD000039,PROD00290,2
ORD000039,PROD00428,1
ORD000040,PROD00315,1
ORD000041,PROD00056,1
ORD000041,PROD00093,1
ORD000042,PROD00363,2
ORD000043,PROD00096,1
ORD000043,PROD00426,1
ORD000044,PROD00090,1
ORD000045,PROD00197,1
ORD000045,PROD00264,1
ORD000046,PROD00336,1
ORD000047,PROD00277,1
ORD000048,PROD00381,1
ORD000049,PROD00407,1
ORD000050,PROD00111,1
ORD000051,PROD00192,1
ORD000051,PROD00239,1
ORD000052,PROD00155,1
ORD000053,PROD00327,2
ORD000054,PROD00448,1
ORD000055,PROD00313,2
ORD000056,PROD00263,1
ORD000056,PROD00397,1
ORD000057,PROD00102,1
ORD000057,PROD00342,1
ORD000057,PROD00458,2
ORD000058,PROD00253,1
